"p","d","q","P","D","Q","AIC","AICC","BIC"
3,1,1,2,1,2,27069.8606593454,27069.9246479696,27123.3706581997
1,1,2,0,1,6,27069.8870124599,27069.9652485908,27129.3425667424
3,1,2,0,1,3,27069.8873726471,27069.9513612713,27123.3973715014
1,1,2,1,1,4,27069.8903882357,27069.95437686,27123.40038709
3,1,1,1,1,3,27069.9032506909,27069.9672393152,27123.4132495452
2,1,3,0,1,3,27069.9213710031,27069.9853596274,27123.4313698574
2,1,3,2,1,1,27069.9247317268,27069.9887203511,27123.4347305811
1,1,3,0,1,5,27069.934215899,27070.0124520299,27129.3897701816
4,1,1,1,1,2,27069.9371182543,27070.0011068785,27123.4471171085
2,1,3,0,1,4,27069.9905423504,27070.0687784813,27129.446096633
2,1,2,4,1,1,27070.0012884229,27070.0795245537,27129.4568427054
1,1,4,2,1,1,27070.0020059318,27070.065994556,27123.512004786
2,1,3,3,1,1,27070.003213969,27070.0814500999,27129.4587682516
1,1,3,0,1,6,27070.0121280749,27070.1060448305,27135.4132377857
3,1,2,3,1,1,27070.0224321615,27070.1006682923,27129.477986444
2,1,3,1,1,3,27070.0341571284,27070.1123932592,27129.4897114109
4,1,1,0,1,4,27070.046215719,27070.1244518499,27129.5017700015
2,1,2,0,1,6,27070.0563191463,27070.1502359019,27135.4574288571
3,1,2,0,1,4,27070.0628356121,27070.1410717429,27129.5183898946
2,1,3,2,1,2,27070.065438137,27070.1436742679,27129.5209924196
1,1,2,3,1,3,27070.080934194,27070.1591703249,27129.5364884766
2,1,2,1,1,4,27070.1161301043,27070.1943662351,27129.5716843868
1,1,3,4,1,1,27070.1230419234,27070.2012780542,27129.5785962059
1,1,2,5,1,1,27070.1248443722,27070.203080503,27129.5803986547
2,1,4,1,1,2,27070.129839782,27070.2080759129,27129.5853940645
3,1,1,0,1,3,27070.189631846,27070.2408045539,27117.754075272
2,1,2,2,1,3,27070.2572180576,27070.3354541884,27129.7127723401
1,1,3,3,1,2,27070.2611588455,27070.3393949764,27129.7167131281
3,1,2,1,1,3,27070.2773465286,27070.3555826595,27129.7329008112
2,1,2,0,1,1,27070.2795741373,27070.3094036827,27105.9529067068
7,1,1,0,1,2,27070.2846912056,27070.3786079612,27135.6858009164
4,1,4,2,1,6,27070.3291431059,27070.5473249241,27171.4035853862
1,1,3,1,1,4,27070.3397259336,27070.4179620645,27129.7952802161
1,1,4,0,1,3,27070.3431889505,27070.4071775748,27123.8531878048
2,1,2,5,1,1,27070.3569767494,27070.450893505,27135.7580864602
3,1,4,3,1,6,27070.4215622509,27070.6397440691,27171.4960045313
4,1,4,3,1,5,27070.462387148,27070.6805689662,27171.5368294283
3,1,2,1,1,1,27070.5224308632,27070.573603571,27118.0868742892
1,1,3,0,1,1,27070.525069107,27070.5548986524,27106.1984016765
3,1,2,0,1,1,27070.5731041866,27070.6128910427,27112.1919921844
1,1,2,1,1,5,27070.5801535176,27070.6583896485,27130.0357078001
2,1,3,1,1,1,27070.621836648,27070.6730093559,27118.1862800741
4,1,2,4,1,6,27070.6364587964,27070.8546406146,27171.7109010767
2,1,3,0,1,2,27070.7418190972,27070.7929918051,27118.3062625232
3,1,2,0,1,2,27070.7555922773,27070.8067649852,27118.3200357034
4,1,3,1,1,3,27070.7587150432,27070.8697470716,27142.1053801822
1,1,2,4,1,2,27070.8050385769,27070.8832747077,27130.2605928594
4,1,1,0,1,5,27070.8170506534,27070.910967409,27136.2181603642
1,1,4,1,1,1,27070.8270899571,27070.878262665,27118.3915333831
2,1,2,1,1,5,27070.828792595,27070.9227093506,27136.2299023058
1,1,3,1,1,5,27070.8649907987,27070.9589075543,27136.2661005095
1,1,2,2,1,4,27070.8882327468,27070.9664688776,27130.3437870293
7,1,1,0,1,3,27070.888619933,27070.9996519615,27142.235285072
1,1,4,0,1,1,27070.8917191252,27070.9315059814,27112.510607123
3,1,1,0,1,6,27070.9061150693,27071.0000318249,27136.3072247801
7,1,1,2,1,1,27070.9229812006,27071.034013229,27142.2696463396
2,1,3,0,1,1,27070.9452137496,27070.9850006057,27112.5641017474
7,1,1,1,1,2,27070.9811189478,27071.0921509763,27142.3277840869
1,1,4,0,1,2,27070.9812594758,27071.0324321836,27118.5457029018
3,1,1,0,1,5,27070.9817913015,27071.0600274324,27130.437345584
2,1,2,3,1,3,27071.0202347798,27071.1141515354,27136.4213444906
3,1,1,1,1,1,27071.061690987,27071.1014778432,27112.6805789848
2,1,2,4,1,2,27071.1245338932,27071.2184506488,27136.525643604
7,1,1,3,1,6,27071.1384700289,27071.3824072614,27178.1584677374
3,1,1,1,1,4,27071.1774846134,27071.2557207443,27130.633038896
3,1,1,5,1,1,27071.223064126,27071.3169808816,27136.6241738368
3,1,1,4,1,1,27071.2280095111,27071.306245642,27130.6835637936
2,1,3,3,1,2,27071.2423439224,27071.336260678,27136.6434536332
1,1,3,4,1,2,27071.2449536159,27071.3388703715,27136.6460633267
4,1,1,1,1,4,27071.2676864818,27071.3616032374,27136.6687961926
7,1,4,3,1,1,27071.2854151802,27071.4792854582,27166.4143020322
4,1,2,2,1,1,27071.2868655771,27071.3651017079,27130.7424198596
1,1,3,5,1,6,27071.2915305319,27071.4854008099,27166.4204173839
3,1,1,3,1,2,27071.2971879533,27071.3754240841,27130.7527422358
3,1,1,0,1,2,27071.355711423,27071.3954982791,27112.9745994208
4,1,1,5,1,1,27071.4047425748,27071.5157746033,27142.7514077138
1,1,2,1,1,6,27071.4327638109,27071.5266805665,27136.8338735217
2,1,3,4,1,1,27071.4419222901,27071.5358390457,27136.8430320009
2,1,4,2,1,1,27071.453480193,27071.5317163239,27130.9090344756
1,1,3,3,1,3,27071.5082888817,27071.6022056373,27136.9093985924
1,1,2,2,1,2,27071.5226200432,27071.5737927511,27119.0870634692
1,1,3,2,1,3,27071.5404730662,27071.6187091971,27130.9960273487
1,1,2,5,1,2,27071.5608632628,27071.6547800184,27136.9619729736
4,1,1,2,1,1,27071.5615286065,27071.6255172308,27125.0715274608
2,1,2,2,1,4,27071.5693668783,27071.6632836339,27136.970476589
4,1,1,0,1,6,27071.581113908,27071.6921459365,27142.9277790471
1,1,2,3,1,2,27071.6076200486,27071.6716086729,27125.1176189029
2,1,3,0,1,5,27071.6111302786,27071.7050470342,27137.0122399894
3,1,2,0,1,5,27071.616315102,27071.7102318576,27137.0174248128
2,1,2,1,1,6,27071.6581482895,27071.769180318,27143.0048134286
4,1,2,3,1,1,27071.6679134146,27071.7618301702,27137.0690231254
3,1,2,2,1,3,27071.6720027518,27071.7659195074,27137.0731124626
4,1,2,0,1,4,27071.6897911535,27071.7837079091,27137.0909008643
4,1,2,0,1,3,27071.7014692979,27071.7797054287,27131.1570235804
2,1,2,3,1,2,27071.7068876232,27071.7851237541,27131.1624419058
1,1,2,1,1,3,27071.7190599423,27071.7702326502,27119.2835033683
3,1,2,4,1,1,27071.7284248696,27071.8223416252,27137.1295345804
3,1,1,2,1,3,27071.7460810682,27071.8243171991,27131.2016353508
1,1,3,2,1,4,27071.7509544904,27071.844871246,27137.1520642012
2,1,2,1,1,3,27071.7855494161,27071.8495380403,27125.2955482703
1,1,3,5,1,2,27071.7999436719,27071.9109757003,27143.1466088109
2,1,3,1,1,4,27071.813609442,27071.9075261976,27137.2147191528
4,1,1,2,1,2,27071.8504127138,27071.9286488446,27131.3059669963
2,1,2,5,1,2,27071.8519614958,27071.9629935243,27143.1986266349
3,1,1,1,1,5,27071.8675484975,27071.9614652531,27137.2686582083
4,1,4,1,1,1,27071.8677816056,27071.9616983612,27137.2688913164
4,1,2,2,1,2,27071.8932987805,27071.9872155361,27137.2944084913
1,1,3,2,1,2,27071.910086493,27071.9740751172,27125.4200853473
2,1,1,4,1,3,27071.9375431092,27072.0314598648,27137.33865282
2,1,3,0,1,6,27071.9389810106,27072.050013039,27143.2856461496
3,1,2,0,1,6,27071.9405906783,27072.0516227068,27143.2872558173
2,1,4,2,1,2,27071.9472293803,27072.0411461359,27137.3483390911
4,1,1,1,1,3,27071.9577783468,27072.0360144776,27131.4133326293
2,1,4,3,1,1,27071.9901149449,27072.0840317005,27137.3912246557
4,1,4,5,1,4,27072.0303909904,27072.2743282229,27179.0503886989
3,1,2,1,1,4,27072.0679856921,27072.1619024478,27137.4690954029
2,1,1,2,1,5,27072.0793983222,27072.1733150778,27137.480508033
3,1,3,3,1,1,27072.0984353766,27072.1923521322,27137.4995450874
4,1,1,0,1,3,27072.1084355821,27072.1724242064,27125.6184344364
1,1,4,0,1,5,27072.1125979646,27072.2065147202,27137.5137076754
3,1,3,0,1,3,27072.1175139744,27072.1957501053,27131.573068257
1,1,2,3,1,4,27072.1496893735,27072.2436061291,27137.5507990843
2,1,4,1,1,3,27072.1502113409,27072.2441280965,27137.5513210517
1,1,4,2,1,3,27072.1643210515,27072.2582378071,27137.5654307623
3,1,3,0,1,4,27072.1822182922,27072.2761350478,27137.583328003
2,1,4,0,1,3,27072.2159444582,27072.294180589,27131.6714987407
3,1,1,3,1,3,27072.2283432918,27072.3222600475,27137.6294530026
2,1,4,0,1,4,27072.2714209258,27072.3653376814,27137.6725306365
3,1,1,4,1,2,27072.3276135939,27072.4215303495,27137.7287233047
1,1,3,1,1,3,27072.3391846142,27072.4031732385,27125.8491834685
2,1,3,2,1,3,27072.342522657,27072.4364394126,27137.7436323678
7,1,1,3,1,1,27072.3610459301,27072.4906294118,27149.6532664974
2,1,4,1,1,1,27072.3962336724,27072.4602222967,27125.9062325267
2,1,1,2,1,6,27072.4157769026,27072.5268089311,27143.7624420416
2,1,1,5,1,3,27072.42855584,27072.5395878684,27143.775220979
4,1,2,1,1,1,27072.4302774738,27072.494266098,27125.9402763281
3,1,1,1,1,6,27072.4614897952,27072.5725218237,27143.8081549343
3,1,3,1,1,1,27072.4827775893,27072.5467662136,27125.9927764436
2,1,4,0,1,1,27072.4873291714,27072.5385018793,27120.0517725974
7,1,1,2,1,2,27072.5020208612,27072.6316043429,27149.7942414285
1,1,5,2,1,1,27072.5059301474,27072.5841662783,27131.9614844299
1,1,5,0,1,3,27072.5318374211,27072.6100735519,27131.9873917036
7,1,1,2,1,4,27072.5414220106,27072.7124230794,27161.7247534344
4,1,2,0,1,1,27072.5519576089,27072.6031303168,27120.1164010349
7,1,1,0,1,4,27072.569318264,27072.6989017456,27149.8615388313
2,1,3,1,1,5,27072.5785190531,27072.6895510815,27143.9251841921
2,1,3,5,1,6,27072.5890055676,27072.8071873858,27173.663447848
3,1,3,0,1,1,27072.5912997996,27072.6424725075,27120.1557432256
3,1,2,1,1,5,27072.6069655842,27072.7179976127,27143.9536307233
3,1,1,5,1,2,27072.612090693,27072.7231227214,27143.958755832
3,1,1,0,1,1,27072.615919395,27072.6457489404,27108.2892519645
2,1,4,0,1,2,27072.6359009918,27072.699889616,27126.1458998461
4,1,2,0,1,2,27072.6359632985,27072.6999519227,27126.1459621528
1,1,2,1,1,2,27072.7093153165,27072.7491021726,27114.3282033143
1,1,5,0,1,4,27072.7120907546,27072.8060075102,27138.1132004653
4,1,1,1,1,1,27072.7480887764,27072.7992614843,27120.3125322024
2,1,1,4,1,4,27072.7622179979,27072.8732500264,27144.108883137
1,1,5,0,1,1,27072.7664738038,27072.8176465117,27120.3309172299
2,1,1,3,1,5,27072.8152406854,27072.9262727139,27144.1619058245
4,1,2,5,1,6,27072.8214921645,27073.065429397,27179.841489873
2,1,3,4,1,2,27072.8494995127,27072.9605315411,27144.1961646517
4,1,4,4,1,5,27072.8599584735,27073.103895706,27179.8799561821
3,1,2,4,1,2,27072.8650802251,27072.9761122535,27144.2117453641
2,1,3,3,1,3,27072.8846701394,27072.9957021678,27144.2313352784
3,1,6,0,1,1,27072.9179156027,27073.0118323583,27138.3190253135
3,1,2,3,1,3,27072.9268185094,27073.0378505379,27144.2734836484
4,1,4,1,1,2,27072.9579206406,27073.068952669,27144.3045857796
4,1,1,0,1,2,27072.9881027152,27073.0392754231,27120.5525461412
3,1,3,0,1,2,27073.0373592194,27073.1013478436,27126.5473580736
7,1,5,4,1,1,27073.0450380433,27073.2889752758,27180.0650357519
3,1,2,2,1,2,27073.0522990107,27073.1305351416,27132.5078532932
7,1,1,5,1,6,27073.0729846357,27073.372770503,27191.9840932008
1,1,4,1,1,5,27073.1150134133,27073.2260454418,27144.4616785524
7,1,4,4,1,1,27073.1190108498,27073.337192668,27174.1934531301
7,1,1,2,1,3,27073.190698412,27073.3402710616,27156.4284744076
2,1,4,3,1,2,27073.2033779242,27073.3144099527,27144.5500430633
4,1,2,0,1,5,27073.2549506002,27073.3659826287,27144.6016157392
2,1,3,2,1,4,27073.2570215314,27073.3680535599,27144.6036866705
7,1,6,3,1,1,27073.2596225267,27073.5035597592,27180.2796202353
1,1,5,0,1,2,27073.267145115,27073.3311337392,27126.7771439693
1,1,5,1,1,1,27073.275006818,27073.3389954423,27126.7850056723
1,1,4,4,1,2,27073.3268355741,27073.4378676026,27144.6735007132
1,1,4,2,1,2,27073.3370677651,27073.415303896,27132.7926220476
4,1,2,1,1,4,27073.3934735547,27073.5045055831,27144.7401386937
7,1,2,3,1,1,27073.4246979428,27073.5742705923,27156.6624739383
3,1,2,3,1,2,27073.4271421413,27073.5210588969,27138.828251852
4,1,2,4,1,1,27073.4485749577,27073.5596069862,27144.7952400968
4,1,2,0,1,6,27073.4664828648,27073.5960663465,27150.7587034321
7,1,1,3,1,2,27073.4668668625,27073.616439512,27156.704642858
3,1,2,2,1,4,27073.4764735796,27073.5875056081,27144.8231387187
2,1,3,1,1,6,27073.4819216638,27073.6115051455,27150.7741422311
1,1,2,4,1,4,27073.4965429697,27073.6075749982,27144.8432081088
4,1,1,0,1,1,27073.5171978189,27073.556984675,27115.1360858166
7,1,1,1,1,3,27073.5393951372,27073.6689786189,27150.8316157045
3,1,2,1,1,6,27073.5522127553,27073.681796237,27150.8444333226
7,1,1,5,1,1,27073.615552086,27073.7865531548,27162.7988835099
2,1,3,5,1,2,27073.6507362092,27073.7803196909,27150.9429567765
3,1,4,3,1,1,27073.6719956142,27073.7830276427,27145.0186607533
5,1,2,0,1,1,27073.6800420176,27073.7440306418,27127.1900408719
3,1,3,4,1,1,27073.6847676507,27073.7957996791,27145.0314327897
4,1,2,3,1,2,27073.6860828593,27073.7971148877,27145.0327479983
2,1,4,0,1,5,27073.7034104575,27073.8144424859,27145.0500755965
3,1,3,2,1,3,27073.711868463,27073.8229004914,27145.058533602
2,1,6,5,1,4,27073.7248651889,27073.9688024214,27180.7448628974
3,1,3,0,1,5,27073.7622785738,27073.8733106023,27145.1089437128
1,1,3,4,1,6,27073.7764706461,27073.9474717149,27162.9598020699
4,1,2,5,1,1,27073.7771365716,27073.9067200532,27151.0693571389
1,1,4,1,1,3,27073.7831491958,27073.8613853267,27133.2387034783
2,1,4,1,1,4,27073.8040505082,27073.9150825367,27145.1507156473
3,1,3,1,1,4,27073.8129699025,27073.924001931,27145.1596350416
3,1,1,2,1,4,27073.8239908495,27073.9179076051,27139.2251005603
3,1,3,3,1,2,27073.8263639182,27073.9373959467,27145.1730290573
4,1,5,0,1,1,27073.8280192673,27073.9219360229,27139.2291289781
1,1,3,4,1,4,27073.9340375387,27074.0636210203,27151.226258106
3,1,2,3,1,6,27073.9434956721,27074.1144967408,27163.1268270959
1,1,4,3,1,2,27073.944653703,27074.0385704586,27139.3457634137
7,1,1,4,1,1,27073.9783153895,27074.1278880391,27157.216091385
2,1,4,0,1,6,27074.0081141242,27074.1376976058,27151.3003346915
4,1,4,4,1,6,27074.0174073268,27074.2885453931,27186.9829604636
3,1,3,0,1,6,27074.025768941,27074.1553524226,27151.3179895083
2,1,1,5,1,4,27074.0485218801,27074.1781053618,27151.3407424474
2,1,1,3,1,6,27074.1466349038,27074.2762183855,27151.4388554711
3,1,3,1,1,5,27074.1586527129,27074.2882361946,27151.4508732802
1,1,5,0,1,5,27074.1758760136,27074.286908042,27145.5225411526
1,1,6,2,1,1,27074.1995504831,27074.2934672387,27139.6006601939
4,1,2,1,1,5,27074.2025161955,27074.3320996772,27151.4947367628
1,1,5,2,1,3,27074.225063375,27074.3360954035,27145.5717285141
1,1,4,5,1,2,27074.2311630038,27074.3607464855,27151.5233835711
2,1,4,3,1,4,27074.237343877,27074.3869165266,27157.4751198725
3,1,4,0,1,2,27074.2538655449,27074.3321016758,27133.7094198275
2,1,2,3,1,4,27074.2639037414,27074.3749357699,27145.6105688804
2,1,5,0,1,3,27074.2719309641,27074.3658477197,27139.6730406749
3,1,2,3,1,4,27074.2846363658,27074.4142198474,27151.5768569331
1,1,4,1,1,4,27074.2934214586,27074.3873382142,27139.6945311694
1,1,3,1,1,2,27074.3137459647,27074.3649186726,27121.8781893908
1,1,6,0,1,3,27074.3213996019,27074.4153163575,27139.7225093127
3,1,4,0,1,1,27074.3332889264,27074.3972775506,27127.8432877807
1,1,6,0,1,2,27074.3522843718,27074.4305205027,27133.8078386544
2,1,1,4,1,5,27074.3601318097,27074.4897152914,27151.652352377
2,1,4,2,1,3,27074.3820008224,27074.4930328509,27145.7286659614
4,1,1,5,1,2,27074.4166261478,27074.5462096295,27151.7088467151
4,1,1,3,1,3,27074.4386229021,27074.5496549305,27145.7852880411
1,1,4,3,1,3,27074.4918577994,27074.6028898278,27145.8385229384
7,1,1,0,1,5,27074.5117666494,27074.661339299,27157.749542645
1,1,3,3,1,4,27074.513140298,27074.6241723265,27145.8598054371
4,1,2,4,1,2,27074.5146483003,27074.644231782,27151.8068688676
1,1,6,0,1,4,27074.5174069805,27074.628439009,27145.8640721195
1,1,5,4,1,1,27074.5585631119,27074.6695951404,27145.9052282509
2,1,5,0,1,1,27074.5670163588,27074.6310049831,27128.0770152131
2,1,4,1,1,5,27074.5867489165,27074.7163323982,27151.8789694838
1,1,4,2,1,4,27074.5886190818,27074.6996511102,27145.9352842208
7,1,6,2,1,1,27074.6137215089,27074.8319033271,27175.6881637892
7,1,2,2,1,2,27074.6577550422,27074.8073276918,27157.8955310377
1,1,4,1,1,2,27074.6580977071,27074.7220863313,27128.1680965614
1,1,6,0,1,1,27074.738307137,27074.8022957613,27128.2483059913
1,1,4,3,1,4,27074.7435114519,27074.8730949335,27152.0357320192
2,1,4,4,1,2,27074.8133904803,27074.942973962,27152.1056110476
7,1,1,1,1,4,27074.8278307585,27074.977403408,27158.065606754
4,1,2,2,1,4,27074.8300575328,27074.9596410144,27152.1222781
4,1,2,3,1,3,27074.8361139689,27074.9656974506,27152.1283345362
1,1,5,0,1,6,27074.9313833519,27075.0609668336,27152.2236039192
3,1,3,4,1,2,27074.9720366945,27075.1016201762,27152.2642572618
2,1,5,0,1,2,27074.98075699,27075.0589931209,27134.4363112725
4,1,2,1,1,6,27075.0275287033,27075.1771013528,27158.2653046988
7,1,6,4,1,1,27075.0375058657,27075.308643932,27188.0030590025
4,1,4,0,1,3,27075.0433806882,27075.1544127166,27146.3900458272
1,1,6,1,1,1,27075.0786598687,27075.1568959996,27134.5342141512
7,1,3,0,1,3,27075.1006521847,27075.2502248343,27158.3384281803
4,1,4,3,1,1,27075.127632554,27075.2572160356,27152.4198531213
4,1,2,1,1,3,27075.1708991711,27075.2648159267,27140.5720088819
4,1,4,0,1,4,27075.1716672259,27075.3012507076,27152.4638877932
4,1,4,2,1,3,27075.1789661817,27075.3285388313,27158.4167421773
7,1,1,4,1,2,27075.1928598101,27075.3638608789,27164.3761912339
4,1,2,5,1,2,27075.2066350799,27075.3562077294,27158.4444110754
2,1,4,3,1,3,27075.2653472816,27075.3949307632,27152.5575678489
2,1,4,2,1,4,27075.3267354699,27075.4563189515,27152.6189560372
4,1,1,3,1,4,27075.3878318868,27075.5174153685,27152.6800524541
7,1,2,0,1,2,27075.4352883896,27075.5463204181,27146.7819535286
2,1,4,1,1,6,27075.4822061275,27075.631778777,27158.719982123
3,1,3,1,1,6,27075.5028126643,27075.6523853138,27158.7405886598
4,1,3,4,1,1,27075.5029988561,27075.6325823378,27152.7952194234
1,1,5,1,1,5,27075.5082473886,27075.6378308703,27152.8004679559
7,1,1,1,1,1,27075.5291665533,27075.6230833089,27140.9302762641
7,1,1,5,1,2,27075.6269122553,27075.8207825333,27170.7557991074
4,1,6,0,1,1,27075.6427183397,27075.7537503682,27146.9893834787
2,1,4,5,1,2,27075.6454567094,27075.795029359,27158.883232705
1,1,5,2,1,2,27075.6812476771,27075.7751644327,27141.0823573879
7,1,3,0,1,5,27075.7277774713,27075.9216477493,27170.8566643233
7,1,3,0,1,2,27075.7688420385,27075.8984255202,27153.0610626058
7,1,1,0,1,6,27075.8343989324,27076.0054000011,27165.0177303562
2,1,5,0,1,6,27075.8699622603,27076.0195349099,27159.1077382559
2,1,1,2,1,2,27075.8731141214,27075.9242868293,27123.4375575474
5,1,3,0,1,1,27075.9332724423,27076.0115085732,27135.3888267248
2,1,3,3,1,4,27075.9508960833,27076.0804795649,27153.2431166505
1,1,5,4,1,2,27075.9728379899,27076.1024214715,27153.2650585572
6,1,1,5,1,6,27075.9890827417,27076.2602208081,27188.9546358786
1,1,6,0,1,5,27076.0117911066,27076.1413745882,27153.3040116739
1,1,5,1,1,3,27076.0265323575,27076.1204491131,27141.4276420683
2,1,1,0,1,1,27076.0466696984,27076.0679689529,27105.7744468396
3,1,4,5,1,1,27076.0680906373,27076.2176632868,27159.3058666328
1,1,6,2,1,3,27076.114721015,27076.2443044966,27153.4069415823
2,1,1,3,1,1,27076.1757569478,27076.2269296556,27123.7402003738
2,1,1,0,1,4,27076.2135788496,27076.2647515575,27123.7780222757
7,1,1,1,1,5,27076.3073534053,27076.4783544741,27165.4906848291
4,1,2,1,1,2,27076.3599830984,27076.4382192293,27135.815537381
4,1,4,0,1,1,27076.3971952529,27076.4754313838,27135.8527495354
2,1,1,2,1,1,27076.3996236968,27076.439410553,27118.0185116946
3,1,3,2,1,4,27076.4851323814,27076.6147158631,27153.7773529487
1,1,6,4,1,1,27076.4899252022,27076.6195086838,27153.7821457695
4,1,3,1,1,5,27076.4941862173,27076.6437588669,27159.7319622129
2,1,1,4,1,6,27076.5511519965,27076.7007246461,27159.788927992
1,1,5,1,1,4,27076.6154169065,27076.726448935,27147.9620820456
1,1,4,4,1,5,27076.6270051787,27076.7980062474,27165.8103366025
2,1,6,0,1,1,27076.630335624,27076.7085717549,27136.0858899066
7,1,2,0,1,5,27076.6477313035,27076.8187323722,27165.8310627273
1,1,6,0,1,6,27076.6735655453,27076.8231381948,27159.9113415408
2,1,1,0,1,3,27076.6796449978,27076.719431854,27118.2985329956
7,1,2,1,1,1,27076.7463499275,27076.857381956,27148.0930150665
4,1,4,4,1,1,27076.7786044903,27076.9281771399,27160.0163804859
7,1,1,1,1,6,27076.7957446246,27076.9896149026,27171.9246314767
2,1,6,1,1,1,27076.8080634624,27076.901980218,27142.2091731732
2,1,1,1,1,1,27076.8096972927,27076.8395268382,27112.4830298623
1,1,5,1,1,2,27076.8282737111,27076.906509842,27136.2838279936
2,1,1,0,1,2,27076.8941783754,27076.9240079208,27112.5675109449
4,1,4,1,1,4,27076.9558009916,27077.1053736412,27160.1935769872
4,1,4,0,1,6,27077.0556388781,27077.2266399469,27166.2389703019
2,1,6,3,1,1,27077.2721933748,27077.4017768564,27154.5644139421
7,1,2,4,1,1,27077.2786372616,27077.4496383303,27166.4619686854
1,1,6,2,1,2,27077.2847701242,27077.3958021526,27148.6314352632
4,1,4,5,1,1,27077.3623918757,27077.5333929445,27166.5457232995
1,1,5,2,1,4,27077.5016901872,27077.6312736688,27154.7939107545
1,1,6,4,1,2,27077.5377336649,27077.6873063145,27160.7755096605
1,1,6,1,1,3,27077.6029554068,27077.7139874353,27148.9496205458
2,1,1,2,1,3,27077.6227305292,27077.6867191534,27131.1327293835
4,1,4,1,1,5,27077.6453084933,27077.816309562,27166.8286399171
4,1,2,3,1,4,27077.6868810607,27077.8364537103,27160.9246570562
2,1,6,4,1,6,27077.8048303596,27078.075968426,27190.7703834964
2,1,1,0,1,5,27077.8842451362,27077.9482337604,27131.3942439905
2,1,1,4,1,1,27077.9004412547,27077.964429879,27131.410440109
4,1,4,4,1,2,27077.9198386229,27078.0908396917,27167.1031700467
2,1,1,3,1,2,27078.2778202793,27078.3418089035,27131.7878191336
3,1,2,4,1,5,27078.3209887659,27078.4919898346,27167.5043201897
1,1,6,1,1,2,27078.3339393819,27078.4278561376,27143.7350490927
4,1,4,2,1,4,27078.3901286975,27078.5611297662,27167.5734601213
2,1,1,0,1,6,27078.4779575077,27078.5561936386,27137.9335117902
1,1,6,2,1,4,27078.6033881942,27078.7529608438,27161.8411641898
2,1,1,5,1,1,27078.6148837493,27078.6931198802,27138.0704380318
2,1,1,5,1,6,27078.626752842,27078.7977539107,27167.8100842658
4,1,4,5,1,2,27078.8183996489,27079.0122699269,27173.9472865009
2,1,1,1,1,5,27078.9132733525,27078.9915094833,27138.368827635
4,1,4,3,1,3,27078.9756791562,27079.1466802249,27168.15901058
2,1,1,4,1,2,27079.0000379795,27079.0782741104,27138.4555922621
4,1,3,3,1,4,27079.4947820534,27079.6657831221,27168.6781134772
6,1,1,2,1,5,27079.499978981,27079.6709800498,27168.6833104048
5,1,5,0,1,1,27079.5798158834,27079.6908479118,27150.9264810224
7,1,1,3,1,5,27079.6172698007,27079.8354516189,27180.691712081
6,1,1,4,1,4,27079.897339518,27080.091209796,27175.02622637
2,1,1,2,1,4,27079.93275773,27080.0109938608,27139.3883120125
2,1,1,1,1,6,27079.9575160332,27080.0514327888,27145.358625744
2,1,1,3,1,3,27080.0005693187,27080.0788054496,27139.4561236013
2,1,1,5,1,2,27080.0174852966,27080.1114020522,27145.4185950074
2,1,1,1,1,2,27080.0226661172,27080.0624529734,27121.641554115
2,1,6,1,1,2,27080.1169932986,27080.2280253271,27151.4636584377
2,1,1,1,1,3,27080.2191449836,27080.2703176915,27127.7835884096
2,1,6,5,1,2,27080.295902372,27080.48977265,27175.4247892241
2,1,1,1,1,4,27080.4470210984,27080.5110097226,27133.9570199526
6,1,1,4,1,3,27080.6164967733,27080.787497842,27169.7998281971
4,1,4,3,1,4,27080.6427414408,27080.8366117187,27175.7716282928
6,1,1,2,1,6,27080.9774105878,27081.1712808658,27176.1062974399
6,1,1,5,1,3,27081.0457116317,27081.2395819096,27176.1745984837
2,1,1,5,1,5,27081.0756667529,27081.2252394025,27164.3134427485
6,1,1,4,1,5,27081.2655055125,27081.4836873307,27182.3399477928
6,1,1,4,1,6,27081.39440765,27081.6383448825,27188.4144053585
6,1,1,5,1,4,27081.4666616858,27081.684843504,27182.5411039661
6,1,1,3,1,5,27081.7556578588,27081.9495281368,27176.8845447109
2,1,1,3,1,4,27082.4610784294,27082.554995185,27147.8621881402
6,1,1,1,1,1,27082.9612765617,27083.0395126925,27142.4168308442
6,1,1,3,1,6,27082.9768154911,27083.1949973093,27184.0512577714
7,1,6,5,1,6,27083.6563920342,27084.121175731,27232.2952777405
6,1,1,0,1,3,27084.0448420678,27084.1387588234,27149.4459517786
6,1,1,1,1,3,27084.6144518706,27084.7254838991,27155.9611170096
6,1,1,0,1,4,27084.6688736362,27084.7799056647,27156.0155387752
6,1,1,2,1,1,27084.7638931033,27084.8578098589,27150.1650028141
2,1,5,5,1,5,27084.7824422311,27085.0263794637,27191.8024399397
6,1,1,1,1,2,27084.8170018598,27084.9109186154,27150.2181115706
6,1,1,0,1,2,27085.071120878,27085.1493570088,27144.5266751605
6,1,1,3,1,1,27085.1849521281,27085.2959841566,27156.5316172672
2,1,6,5,1,6,27085.7371231673,27086.0369090346,27204.6482317324
6,1,1,4,1,1,27085.9379368122,27086.0675202939,27163.2301573795
6,1,1,3,1,2,27086.2932501686,27086.4228336503,27163.5854707359
6,1,1,0,1,5,27086.4776470339,27086.6072305155,27163.7698676012
